x,y,species cloglog values
221.0,221.0,0.0023984967
222.0,222.0,3.3777903E-4
223.0,223.0,0.15789755
224.0,224.0,0.010349359
225.0,225.0,2.222234E-5
226.0,226.0,2.8750332E-5
227.0,227.0,9.1210275E-4
228.0,228.0,0.001353151
229.0,229.0,6.784023E-4
230.0,230.0,0.020128481
231.0,231.0,0.0017856953
232.0,232.0,2.2695148E-4
233.0,233.0,1.5062001E-5
234.0,234.0,0.0010301706
235.0,235.0,0.0011174293
236.0,236.0,0.0058130086
237.0,237.0,4.0726067E-4
238.0,238.0,9.828279E-4
239.0,239.0,0.0035197155
240.0,240.0,0.0010464295
241.0,241.0,1.3769919E-4
242.0,242.0,0.014042879
243.0,243.0,0.0027839565
244.0,244.0,0.25858387
245.0,245.0,0.012389108
246.0,246.0,0.0011116123
247.0,247.0,0.5474562
248.0,248.0,0.0012609547
249.0,249.0,0.0012472412
250.0,250.0,4.319174E-5
251.0,251.0,2.883191E-5
252.0,252.0,4.5922748E-4
253.0,253.0,2.718044E-5
254.0,254.0,3.8285443E-4
255.0,255.0,0.008277728
256.0,256.0,0.0026929846
257.0,257.0,0.41388687
258.0,258.0,0.0023176495
259.0,259.0,0.012655143
260.0,260.0,6.663572E-5
261.0,261.0,0.0015189784
262.0,262.0,0.60227203
263.0,263.0,1.2221861E-4
264.0,264.0,9.14637E-4
265.0,265.0,3.6779835E-5
266.0,266.0,1.025638E-4
267.0,267.0,1.0284717E-4
268.0,268.0,0.0022172942
269.0,269.0,0.0021655578
270.0,270.0,0.08411639
271.0,271.0,1.1759975E-4
272.0,272.0,0.030289115
273.0,273.0,0.0014410368
274.0,274.0,0.0012954216
275.0,275.0,0.032608803
276.0,276.0,0.0010793165
277.0,277.0,2.8057495E-5
278.0,278.0,3.5864545E-4
279.0,279.0,0.01055806
280.0,280.0,0.00581948
281.0,281.0,0.003915664
282.0,282.0,5.453801E-5
283.0,283.0,0.0015130548
284.0,284.0,4.18604E-4
285.0,285.0,9.608176E-4
286.0,286.0,0.0013630833
287.0,287.0,8.190727E-4
288.0,288.0,0.0014310027
289.0,289.0,0.52282274
290.0,290.0,0.0024358148
291.0,291.0,3.755203E-5
292.0,292.0,0.0064632203
293.0,293.0,5.1712483E-4
294.0,294.0,0.0762405
295.0,295.0,0.10100086
296.0,296.0,3.4606407E-4
297.0,297.0,0.04617634
298.0,298.0,0.30906337
299.0,299.0,0.59697855
300.0,300.0,0.6767856
301.0,301.0,0.030403918
302.0,302.0,0.028602194
303.0,303.0,0.0020562361
304.0,304.0,0.0055713686
305.0,305.0,0.0015019916
306.0,306.0,0.0010466222
307.0,307.0,2.219006E-4
308.0,308.0,0.00963009
309.0,309.0,0.0015594014
310.0,310.0,0.6619836
311.0,311.0,0.0020425257
312.0,312.0,0.016548742
313.0,313.0,9.360625E-4
314.0,314.0,8.224125E-4
315.0,315.0,0.0011193107
316.0,316.0,3.1620253E-5
317.0,317.0,0.003371802
318.0,318.0,1.2779744E-4
319.0,319.0,0.00925468
320.0,320.0,1.0015896E-4
321.0,321.0,2.1654618E-5
322.0,322.0,3.0103564E-4
323.0,323.0,5.055028E-5
324.0,324.0,0.054878198
325.0,325.0,0.061072752
326.0,326.0,0.0011855317
327.0,327.0,0.033202883
328.0,328.0,7.160897E-4
329.0,329.0,0.0010723303
330.0,330.0,7.4646634E-4
331.0,331.0,9.0225956E-5
332.0,332.0,3.498436E-5
333.0,333.0,0.013036521
334.0,334.0,1.8899192E-4
335.0,335.0,0.059188135
336.0,336.0,8.651858E-5
337.0,337.0,0.053977296
338.0,338.0,2.3275024E-4
339.0,339.0,0.0020693575
340.0,340.0,0.04062887
341.0,341.0,7.629758E-5
342.0,342.0,0.0014077647
343.0,343.0,0.0023143843
344.0,344.0,0.005612968
345.0,345.0,0.0010194517
346.0,346.0,7.0946483E-4
347.0,347.0,0.007494204
348.0,348.0,0.065325186
349.0,349.0,0.0044520586
350.0,350.0,0.0721024
351.0,351.0,0.02041653
352.0,352.0,0.0049300734
353.0,353.0,6.820012E-4
354.0,354.0,0.057762463
355.0,355.0,1.8485496E-4
356.0,356.0,0.0019644655
357.0,357.0,0.052511435
358.0,358.0,5.0357805E-5
359.0,359.0,0.01858795
360.0,360.0,0.1082393
361.0,361.0,7.310757E-4
362.0,362.0,0.06880633
363.0,363.0,0.0027085019
364.0,364.0,0.0014510519
365.0,365.0,1.8651341E-4
366.0,366.0,2.910926E-4
367.0,367.0,0.001962977
368.0,368.0,2.2460563E-5
369.0,369.0,0.0022195484
370.0,370.0,1.3505692E-5
371.0,371.0,3.4020457E-4
372.0,372.0,0.011738009
373.0,373.0,0.0018431919
374.0,374.0,0.07904197
375.0,375.0,0.5760452
376.0,376.0,1.7778181E-4
377.0,377.0,0.0010740259
378.0,378.0,1.6818989E-5
379.0,379.0,1.6181271E-5
380.0,380.0,0.08193113
381.0,381.0,6.468056E-4
382.0,382.0,7.9019554E-4
383.0,383.0,0.0035679243
384.0,384.0,2.5923282E-5
385.0,385.0,0.0014505029
386.0,386.0,6.387189E-4
387.0,387.0,0.0011442754
388.0,388.0,0.061698068
389.0,389.0,0.0013694698
390.0,390.0,0.001372112
391.0,391.0,0.042950343
392.0,392.0,0.0023768183
393.0,393.0,5.6732976E-4
394.0,394.0,3.6522787E-4
395.0,395.0,0.0075720614
396.0,396.0,2.9425306E-4
397.0,397.0,1.4631507E-4
398.0,398.0,0.0029287655
399.0,399.0,9.984431E-4
400.0,400.0,1.1442485E-4
401.0,401.0,0.031607002
402.0,402.0,6.435417E-4
403.0,403.0,0.0011089741
404.0,404.0,0.056069482
405.0,405.0,0.051459104
406.0,406.0,0.0011447282
407.0,407.0,1.1782137E-4
408.0,408.0,0.017417684
409.0,409.0,0.011742071
410.0,410.0,3.9073464E-4
411.0,411.0,0.002441916
412.0,412.0,5.140372E-4
413.0,413.0,1.399525E-4
414.0,414.0,0.008960626
415.0,415.0,0.021653274
416.0,416.0,0.002804653
417.0,417.0,7.639722E-5
418.0,418.0,2.3471446E-5
419.0,419.0,1.2793232E-4
420.0,420.0,0.36874384
421.0,421.0,0.64168626
422.0,422.0,0.0059673684
423.0,423.0,0.0011223931
424.0,424.0,0.031749804
425.0,425.0,8.361818E-4
426.0,426.0,3.5324902E-4
427.0,427.0,1.8801267E-4
428.0,428.0,0.0013866827
429.0,429.0,0.032140046
430.0,430.0,0.0011097904
431.0,431.0,5.653296E-4
432.0,432.0,7.050417E-4
433.0,433.0,0.06577732
434.0,434.0,0.0031558748
435.0,435.0,0.0024268
436.0,436.0,0.6210775
437.0,437.0,1.7136753E-4
438.0,438.0,0.0059077
439.0,439.0,0.02456411
440.0,440.0,1.2431093E-4
441.0,441.0,6.613804E-4
442.0,442.0,0.034033943
443.0,443.0,0.0043811486
444.0,444.0,0.027058514
445.0,445.0,3.489195E-4
446.0,446.0,6.181511E-4
447.0,447.0,0.6485743
448.0,448.0,0.3464759
449.0,449.0,0.016213778
450.0,450.0,0.013211924
451.0,451.0,0.0015286125
452.0,452.0,8.2634704E-4
453.0,453.0,2.5892133E-4
454.0,454.0,0.0029150576
455.0,455.0,4.6327972E-4
456.0,456.0,0.0011192835
457.0,457.0,0.032259587
458.0,458.0,5.5740173E-5
459.0,459.0,0.12709202
460.0,460.0,3.8634964E-5
461.0,461.0,0.024946498
462.0,462.0,2.9756984E-4
463.0,463.0,0.0013205083
464.0,464.0,0.037343536
465.0,465.0,0.024182051
466.0,466.0,6.627533E-4
467.0,467.0,0.0026765363
468.0,468.0,0.011677359
469.0,469.0,5.00933E-5
470.0,470.0,5.683799E-4
471.0,471.0,2.7294736E-4
472.0,472.0,0.004421902
473.0,473.0,0.12032303
474.0,474.0,0.037522342
475.0,475.0,0.02221655
476.0,476.0,5.243605E-5
477.0,477.0,0.030727834
478.0,478.0,0.6242168
479.0,479.0,0.0025420964
480.0,480.0,4.4810615E-4
481.0,481.0,0.34370342
482.0,482.0,0.009919764
483.0,483.0,6.8551966E-4
484.0,484.0,8.229737E-4
485.0,485.0,2.7350476E-4
486.0,486.0,0.003928616
487.0,487.0,3.092748E-4
488.0,488.0,0.0017016752
489.0,489.0,0.0014675099
490.0,490.0,3.1879317E-4
491.0,491.0,0.0021708019
492.0,492.0,6.3486956E-4
493.0,493.0,0.0012248154
494.0,494.0,2.1404155E-4
495.0,495.0,0.171529
496.0,496.0,1.6308737E-4
497.0,497.0,0.65065646
498.0,498.0,1.5154781E-5
499.0,499.0,0.0012587504
500.0,500.0,0.0011480113
501.0,501.0,1.6882712E-5
502.0,502.0,7.391815E-4
503.0,503.0,2.2968277E-4
504.0,504.0,0.0010771082
505.0,505.0,0.0021076696
506.0,506.0,0.0066467025
507.0,507.0,3.060864E-5
508.0,508.0,0.050191224
509.0,509.0,2.530895E-4
510.0,510.0,0.009215087
511.0,511.0,0.0025800618
512.0,512.0,0.0023419617
513.0,513.0,0.01860395
514.0,514.0,0.010231427
515.0,515.0,0.009868448
516.0,516.0,0.023697903
517.0,517.0,1.6165648E-4
518.0,518.0,0.018211272
519.0,519.0,0.013916446
520.0,520.0,4.8535192E-5
521.0,521.0,0.0027972413
522.0,522.0,8.5430086E-4
523.0,523.0,0.0042870035
524.0,524.0,5.8981456E-4
525.0,525.0,1.7285862E-5
526.0,526.0,3.956075E-4
527.0,527.0,0.011503337
528.0,528.0,0.023817025
529.0,529.0,1.1267914E-5
530.0,530.0,0.007197163
531.0,531.0,3.0750284E-4
532.0,532.0,0.061124027
533.0,533.0,2.3522585E-4
534.0,534.0,5.901671E-4
535.0,535.0,0.004322392
536.0,536.0,0.0041907146
537.0,537.0,0.0023267604
538.0,538.0,8.4712345E-5
539.0,539.0,0.006029501
540.0,540.0,3.7860278E-5
541.0,541.0,0.16647331
542.0,542.0,0.014238616
543.0,543.0,5.5574183E-6
544.0,544.0,0.024227854
545.0,545.0,0.0143646225
546.0,546.0,1.5769143E-5
547.0,547.0,0.0023431617
548.0,548.0,5.1283103E-5
549.0,549.0,0.025874384
550.0,550.0,0.0011503648
551.0,551.0,4.6603775E-4
552.0,552.0,0.008671064
553.0,553.0,0.65998775
554.0,554.0,1.3707508E-4
555.0,555.0,0.021845277
556.0,556.0,9.167204E-4
557.0,557.0,0.0011684009
558.0,558.0,0.0043636523
559.0,559.0,0.0030965614
560.0,560.0,1.09329936E-4
561.0,561.0,3.0603888E-4
562.0,562.0,2.084749E-5
563.0,563.0,0.010033576
564.0,564.0,0.0011437302
565.0,565.0,0.0038820216
566.0,566.0,1.7031036E-4
567.0,567.0,0.31049564
568.0,568.0,0.006343565
569.0,569.0,0.0011466478
570.0,570.0,5.1891897E-5
571.0,571.0,2.8054113E-4
572.0,572.0,2.5138743E-5
573.0,573.0,7.107765E-4
574.0,574.0,0.21044481
575.0,575.0,2.822174E-4
576.0,576.0,5.1282137E-4
577.0,577.0,0.0014166791
578.0,578.0,0.0021086808
579.0,579.0,0.016714614
580.0,580.0,1.0484108E-4
581.0,581.0,7.652129E-4
582.0,582.0,0.17601459
583.0,583.0,5.821568E-4
584.0,584.0,0.02992118
585.0,585.0,8.3214615E-4
586.0,586.0,6.0116977E-4
587.0,587.0,0.015694963
588.0,588.0,0.0015794904
589.0,589.0,0.0010929406
590.0,590.0,0.0039956383
591.0,591.0,5.005903E-4
592.0,592.0,6.1745226E-4
593.0,593.0,0.07378463
594.0,594.0,0.17337507
595.0,595.0,0.053200442
596.0,596.0,2.904302E-5
597.0,597.0,0.010167731
598.0,598.0,8.4819435E-4
599.0,599.0,1.2723159E-4
600.0,600.0,0.012483792
601.0,601.0,0.016267087
602.0,602.0,5.246389E-4
603.0,603.0,0.003199581
604.0,604.0,0.003223152
605.0,605.0,0.017749717
606.0,606.0,0.001816905
607.0,607.0,0.0013411243
608.0,608.0,0.629866
609.0,609.0,3.21713E-5
610.0,610.0,6.8391435E-4
611.0,611.0,0.008577612
612.0,612.0,0.010594305
613.0,613.0,0.014479431
614.0,614.0,0.0028562425
615.0,615.0,0.62365824
616.0,616.0,0.056960903
617.0,617.0,2.625297E-4
618.0,618.0,8.3194074E-4
619.0,619.0,0.06769287
620.0,620.0,0.2897556
621.0,621.0,1.2787162E-4
622.0,622.0,0.0024526909
623.0,623.0,1.2251302E-5
624.0,624.0,0.004982021
625.0,625.0,0.059115212
626.0,626.0,4.019658E-5
627.0,627.0,5.085993E-4
628.0,628.0,1.02582344E-4
629.0,629.0,0.5599054
630.0,630.0,2.0094936E-4
631.0,631.0,0.004398884
632.0,632.0,4.966734E-4
633.0,633.0,4.8595207E-4
634.0,634.0,0.0011459389
635.0,635.0,0.011864566
636.0,636.0,0.002454376
637.0,637.0,0.0011993743
638.0,638.0,0.37139538
639.0,639.0,5.1653764E-4
640.0,640.0,6.695696E-5
641.0,641.0,4.111532E-5
642.0,642.0,0.047814604
643.0,643.0,0.003211885
644.0,644.0,0.0021650477
645.0,645.0,8.7823975E-4
646.0,646.0,8.753995E-4
647.0,647.0,0.0025125963
648.0,648.0,3.033663E-4
649.0,649.0,6.0678856E-4
650.0,650.0,6.99077E-4
651.0,651.0,1.722033E-5
652.0,652.0,1.9938252E-5
653.0,653.0,9.800423E-5
654.0,654.0,0.008763457
655.0,655.0,0.010995836
656.0,656.0,0.036241382
657.0,657.0,0.0012889404
658.0,658.0,0.012480744
659.0,659.0,1.0702264E-4
660.0,660.0,3.8036447E-5
661.0,661.0,0.0694963
662.0,662.0,0.03306483
663.0,663.0,0.001327834
664.0,664.0,0.037040215
665.0,665.0,0.001481453
666.0,666.0,5.0956017E-4
667.0,667.0,3.5083835E-5
668.0,668.0,3.1962138E-4
669.0,669.0,0.00744373
670.0,670.0,0.0140834525
671.0,671.0,0.015079402
672.0,672.0,0.020750301
673.0,673.0,0.0056518223
674.0,674.0,4.2080937E-4
675.0,675.0,0.0018534709
676.0,676.0,0.0010669903
677.0,677.0,0.0012330582
678.0,678.0,5.7365146E-4
679.0,679.0,0.0030276645
680.0,680.0,0.0011862163
681.0,681.0,0.0018936605
682.0,682.0,0.24403144
683.0,683.0,4.3328613E-4
684.0,684.0,9.6975226E-4
685.0,685.0,0.013381047
686.0,686.0,8.518517E-5
687.0,687.0,4.111601E-4
688.0,688.0,0.07868897
689.0,689.0,0.009816851
690.0,690.0,9.052013E-5
691.0,691.0,1.1409831E-4
692.0,692.0,6.490017E-4
693.0,693.0,5.521666E-4
694.0,694.0,0.026469367
695.0,695.0,0.12894225
696.0,696.0,2.1616474E-4
697.0,697.0,0.0015638703
698.0,698.0,0.0034880808
699.0,699.0,0.00718994
700.0,700.0,5.683417E-4
701.0,701.0,2.5535186E-4
702.0,702.0,0.0022674678
703.0,703.0,0.0028910006
704.0,704.0,0.6014037
705.0,705.0,0.08290072
706.0,706.0,3.064391E-4
707.0,707.0,2.5636591E-5
708.0,708.0,0.0038265265
709.0,709.0,0.112615235
710.0,710.0,0.013445431
711.0,711.0,2.4292585E-4
712.0,712.0,0.0028871642
713.0,713.0,9.797566E-6
714.0,714.0,4.586926E-5
715.0,715.0,4.2785908E-4
716.0,716.0,0.17153321
717.0,717.0,0.002336909
718.0,718.0,0.0016406252
719.0,719.0,0.05431271
720.0,720.0,0.007949306
721.0,721.0,0.0027687293
722.0,722.0,7.3766644E-4
723.0,723.0,5.0417817E-4
724.0,724.0,0.10742451
725.0,725.0,0.0013932554
726.0,726.0,8.6700317E-4
727.0,727.0,1.4304886E-4
728.0,728.0,2.971526E-4
729.0,729.0,2.3355304E-5
730.0,730.0,8.6784357E-4
731.0,731.0,0.008642905
732.0,732.0,0.0066811615
733.0,733.0,0.016620174
734.0,734.0,0.68281144
735.0,735.0,0.00739757
736.0,736.0,0.0014305561
737.0,737.0,0.003884615
738.0,738.0,0.008697764
739.0,739.0,0.0036275573
740.0,740.0,0.00289524
741.0,741.0,9.137915E-4
742.0,742.0,0.005589337
743.0,743.0,0.0027518999
744.0,744.0,0.0023486656
745.0,745.0,0.0016778498
746.0,746.0,6.105453E-5
747.0,747.0,0.0015878072
748.0,748.0,4.5438405E-4
749.0,749.0,0.0039614155
750.0,750.0,3.9467003E-4
751.0,751.0,0.0069689597
752.0,752.0,0.004343748
753.0,753.0,0.018542552
754.0,754.0,8.922322E-4
755.0,755.0,3.009548E-4
756.0,756.0,8.8010693E-4
757.0,757.0,0.006064054
758.0,758.0,0.43739942
759.0,759.0,8.015637E-4
760.0,760.0,0.0052836426
761.0,761.0,0.002796869
762.0,762.0,4.0526723E-4
763.0,763.0,3.5235003E-4
764.0,764.0,3.3146844E-5
765.0,765.0,9.5152605E-4
766.0,766.0,0.0034640285
767.0,767.0,0.012955134
768.0,768.0,0.02568419
769.0,769.0,5.4031196E-5
770.0,770.0,0.0023225616
771.0,771.0,7.6591014E-4
772.0,772.0,1.7301446E-4
773.0,773.0,0.00570554
774.0,774.0,0.01908835
775.0,775.0,0.6397773
776.0,776.0,1.01681624E-4
777.0,777.0,0.003469798
778.0,778.0,0.15495779
779.0,779.0,0.11816457
780.0,780.0,0.008130931
781.0,781.0,4.0177183E-4
782.0,782.0,4.1940407E-4
783.0,783.0,0.10208077
784.0,784.0,0.0018235162
785.0,785.0,0.0011496344
786.0,786.0,0.0073016323
787.0,787.0,3.1942793E-4
788.0,788.0,5.5281003E-4
789.0,789.0,0.3050402
790.0,790.0,0.004445504
791.0,791.0,0.00901069
792.0,792.0,1.9775511E-4
793.0,793.0,0.15019974
794.0,794.0,0.009777536
795.0,795.0,0.0022463594
796.0,796.0,9.5173344E-4
797.0,797.0,0.0085535245
798.0,798.0,0.0011384309
799.0,799.0,0.006348365
800.0,800.0,0.0030611577
801.0,801.0,0.005942524
802.0,802.0,0.006848403
803.0,803.0,3.8713624E-4
804.0,804.0,0.0076811933
805.0,805.0,0.15257028
806.0,806.0,0.018484246
807.0,807.0,0.024935994
808.0,808.0,9.418436E-4
809.0,809.0,4.5796167E-4
810.0,810.0,0.5004574
811.0,811.0,0.003482822
812.0,812.0,1.22678075E-5
813.0,813.0,1.7401548E-4
814.0,814.0,5.571835E-5
815.0,815.0,0.0033889858
816.0,816.0,0.05314142
817.0,817.0,0.010340823
818.0,818.0,0.0014466571
819.0,819.0,0.0065306877
820.0,820.0,0.0019192861
821.0,821.0,0.009009126
822.0,822.0,0.0012563007
823.0,823.0,3.0593408E-4
824.0,824.0,0.003183056
825.0,825.0,0.5448073
826.0,826.0,2.6966582E-4
827.0,827.0,0.0017061492
828.0,828.0,0.0013850135
829.0,829.0,7.515998E-4
830.0,830.0,1.4614916E-4
831.0,831.0,0.0070479247
832.0,832.0,0.0019510018
833.0,833.0,0.0028390125
834.0,834.0,5.7758077E-4
835.0,835.0,0.0053298892
836.0,836.0,3.9676353E-4
837.0,837.0,5.3260126E-4
838.0,838.0,0.0038458162
839.0,839.0,0.015516619
840.0,840.0,0.011581733
841.0,841.0,0.005300513
842.0,842.0,1.3469243E-5
843.0,843.0,0.001277147
844.0,844.0,0.0043444266
845.0,845.0,0.0021553512
846.0,846.0,0.0057080593
847.0,847.0,0.1354915
848.0,848.0,0.0063051833
849.0,849.0,0.0028870013
850.0,850.0,3.5282958E-4
851.0,851.0,0.07212974
852.0,852.0,0.0017427217
853.0,853.0,0.0016353767
854.0,854.0,5.6905916E-4
855.0,855.0,0.0014079505
856.0,856.0,0.23586501
857.0,857.0,0.0017566637
858.0,858.0,0.005036571
859.0,859.0,8.207585E-4
860.0,860.0,0.004455633
861.0,861.0,0.0033676836
862.0,862.0,0.0583983
863.0,863.0,3.5157384E-5
864.0,864.0,0.21392332
865.0,865.0,0.0035770328
866.0,866.0,5.898703E-4
867.0,867.0,9.538456E-4
868.0,868.0,1.5374295E-4
869.0,869.0,0.013388428
870.0,870.0,0.0029649045
871.0,871.0,0.005145652
872.0,872.0,0.058501404
873.0,873.0,2.9867553E-4
874.0,874.0,0.008956653
875.0,875.0,0.028033365
876.0,876.0,0.0013095455
877.0,877.0,0.02546307
878.0,878.0,5.413832E-4
879.0,879.0,2.1447954E-4
880.0,880.0,0.01986597
881.0,881.0,6.225441E-4
882.0,882.0,0.002277673
883.0,883.0,3.198243E-4
884.0,884.0,0.22843122
885.0,885.0,1.2209312E-4
886.0,886.0,3.4973564E-4
887.0,887.0,4.4540613E-4
888.0,888.0,0.0023388194
889.0,889.0,2.3684235E-5
890.0,890.0,5.0142145E-4
891.0,891.0,1.1543251E-4
892.0,892.0,0.001162311
893.0,893.0,0.0022364662
894.0,894.0,0.005230054
895.0,895.0,0.0010631093
896.0,896.0,0.0011249396
897.0,897.0,0.0027669133
898.0,898.0,1.7250533E-5
899.0,899.0,0.34275207
900.0,900.0,0.001153608
901.0,901.0,0.0042281104
902.0,902.0,3.1737483E-4
903.0,903.0,0.0011250393
904.0,904.0,0.0020709878
905.0,905.0,2.843732E-4
906.0,906.0,0.0071113324
907.0,907.0,7.500387E-4
908.0,908.0,0.009614966
909.0,909.0,0.0030727156
910.0,910.0,0.027387232
911.0,911.0,0.4883659
912.0,912.0,0.0015266737
913.0,913.0,6.2007975E-4
