Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.84952E-4,28.011924,0.652083849,0.38550383,0.289919925,0
1.85276E-4,28.271105188,0.652725253,0.38385386,0.293217146,0
1.85659E-4,28.512246356,0.653485054,0.382321744,0.296278851,0
1.86111E-4,28.753908346,0.65437799,0.380789629,0.298869524,0
1.86805E-4,29.014868949,0.655743918,0.379139658,0.301224682,0
1.87133E-4,29.257913879,0.656387569,0.377489688,0.303344324,0
1.87646E-4,29.501540252,0.657391748,0.376075427,0.306170513,0
1.88333E-4,29.764848848,0.658732902,0.374425457,0.308761187,0
1.89046E-4,30.010172383,0.660120342,0.372893341,0.310880829,0
1.89579E-4,30.256218882,0.661152398,0.371361226,0.313942534,0
1.89682E-4,30.597606751,0.661352313,0.369239835,0.318181818,0
1.90201E-4,30.768562701,0.662352384,0.36817914,0.32030146,0
1.90455E-4,31.015955733,0.662841696,0.366647024,0.323363165,0
1.90699E-4,31.263746976,0.663311868,0.365114909,0.326189355,0
1.91386E-4,31.512266768,0.664629586,0.363582793,0.329015544,0
1.9173E-4,31.761398946,0.665288367,0.362050678,0.332077249,0
1.9241E-4,32.010940899,0.666584815,0.360518562,0.334432407,0
1.92845E-4,32.261368368,0.667410737,0.358986447,0.337258596,0
1.93382E-4,32.512582627,0.66842827,0.357454331,0.340320301,0
1.93554E-4,32.764119194,0.668754644,0.355922216,0.343146491,0
1.93849E-4,33.015957318,0.669311513,0.3543901,0.346208196,0
1.94357E-4,33.268357379,0.670270136,0.352857985,0.348327838,0
1.94689E-4,33.501765737,0.670894404,0.351443724,0.351154027,0
1.94997E-4,33.755067437,0.671472512,0.349911609,0.353980217,0
1.95809E-4,34.009160587,0.672990851,0.348261638,0.35657089,0
1.96328E-4,34.264069351,0.673957641,0.346847378,0.35939708,0
1.96753E-4,34.519585157,0.67474839,0.345315262,0.361987753,0
1.96999E-4,34.755879457,0.675205097,0.343901002,0.364578427,0
1.97633E-4,35.012508631,0.676378337,0.342368886,0.367640132,0
1.97979E-4,35.289426897,0.677016117,0.340718916,0.370937353,0
1.98189E-4,35.507382831,0.677404338,0.33942251,0.373056995,0
1.98523E-4,35.765187221,0.678017568,0.337890395,0.375883184,0
1.98719E-4,36.003538392,0.678378632,0.336476134,0.378473858,0
1.99096E-4,36.262049087,0.67906974,0.334944019,0.381064531,0
1.99475E-4,36.501217833,0.679764255,0.333529758,0.383655205,0
1.99907E-4,36.760862184,0.680552812,0.331997643,0.386481394,0
2.00375E-4,37.041110418,0.681404708,0.330347672,0.389778615,0
2.00535E-4,37.261601803,0.681695635,0.329051267,0.392369289,0
2.00747E-4,37.522461092,0.68208034,0.327401296,0.394724447,0
2.00865E-4,37.763440817,0.682293915,0.326104891,0.398021667,0
2.01113E-4,38.024715006,0.682743324,0.324572775,0.400612341,0
2.0144E-4,38.266265136,0.683336038,0.323158515,0.402731983,0
2.01629E-4,38.50810232,0.683677046,0.321744255,0.405087141,0
2.01935E-4,38.750251234,0.684229097,0.320329994,0.407677814,0
2.02326E-4,39.013097892,0.684932948,0.318797879,0.410504004,0
2.02801E-4,39.256123016,0.685785413,0.317383618,0.413094677,0
2.02938E-4,39.540209507,0.686030944,0.315615793,0.41403674,0
2.03224E-4,39.763632321,0.686544225,0.314437242,0.418040509,0
2.03397E-4,40.068650376,0.686853199,0.312669417,0.421573245,0
2.0359E-4,40.25181265,0.68719834,0.311608721,0.42298634,0
2.03735E-4,40.516568287,0.687456568,0.310076606,0.425812529,0
2.03956E-4,40.761201708,0.687850671,0.308662345,0.428638719,0
2.04104E-4,41.026439617,0.688114967,0.30713023,0.431464908,0
2.04274E-4,41.25106647,0.688416532,0.305833824,0.43358455,0
2.04621E-4,41.516895738,0.689034488,0.304301709,0.435939708,0
2.04868E-4,41.865063815,0.689472614,0.302180318,0.43805935,0
2.0513E-4,42.008618387,0.689936155,0.301473188,0.441356571,0
2.05374E-4,42.254889488,0.69036716,0.300058928,0.44418276,0
2.05528E-4,42.501452387,0.690638955,0.298644667,0.446773434,0
2.05706E-4,42.768810296,0.690953807,0.297112552,0.449835139,0
2.06161E-4,43.015946986,0.691754746,0.295698291,0.452425813,0
2.06501E-4,43.325488761,0.692353317,0.293930466,0.455252002,0
2.06576E-4,43.511376487,0.692485067,0.29286977,0.457136128,0
2.07009E-4,43.759606927,0.693244663,0.29145551,0.459726802,0
2.07275E-4,44.008168838,0.693708712,0.290041249,0.462081959,0
2.07512E-4,44.257087258,0.694124255,0.288509134,0.464437117,0
2.07848E-4,44.506338774,0.694710182,0.287212728,0.467263307,0
2.0801E-4,44.755890444,0.694992351,0.285798468,0.46985398,0
2.08089E-4,45.047214782,0.69512911,0.284030642,0.470089496,0
2.08487E-4,45.255517511,0.695821529,0.282969947,0.475506359,0
2.08872E-4,45.505973612,0.696489709,0.281555687,0.478332548,0
2.09005E-4,45.777597711,0.69672002,0.280023571,0.480923222,0
2.09261E-4,46.007657427,0.697161932,0.278727166,0.483042864,0
2.09494E-4,46.258901578,0.697564737,0.277312905,0.485633537,0
2.09827E-4,46.510551507,0.698139388,0.275898645,0.487988695,0
2.10041E-4,46.762501697,0.698508126,0.274484384,0.490579369,0
2.10213E-4,47.056701502,0.698803173,0.272834414,0.493405558,0
2.10314E-4,47.266962021,0.698977466,0.271655863,0.4955252,0
2.1048E-4,47.519387686,0.699262296,0.270241603,0.49835139,0
2.10822E-4,47.751138557,0.699848541,0.268827342,0.5,0
2.10988E-4,48.004263266,0.700133461,0.267530937,0.502826189,0
2.1128E-4,48.257649809,0.700632818,0.266116676,0.505416863,0
2.11637E-4,48.511345472,0.701242615,0.264702416,0.508007537,0
2.11796E-4,48.786595765,0.701512682,0.263170301,0.511069242,0
2.11999E-4,49.019673869,0.70185874,0.261873895,0.513188884,0
2.12128E-4,49.252939347,0.702078324,0.260459635,0.51507301,0
2.12345E-4,49.507585919,0.702447726,0.259163229,0.517899199,0
2.12577E-4,49.762572851,0.702840221,0.257748969,0.520489873,0
2.1279E-4,50.060387304,0.703201372,0.256098998,0.523316062,0
2.13097E-4,50.252070333,0.703722302,0.255038303,0.525200188,0
2.13284E-4,50.507889189,0.704037171,0.253624042,0.52731983,0
2.13562E-4,50.76400428,0.704506426,0.252209782,0.529203957,0
2.13694E-4,51.020396488,0.704730477,0.250795522,0.53179463,0
2.13779E-4,51.362393226,0.70487244,0.248909841,0.535562883,0
2.13954E-4,51.512091667,0.705167245,0.247967001,0.536975977,0
2.14129E-4,51.7689764,0.705461756,0.246670595,0.540037683,0
2.14253E-4,52.004576537,0.705669846,0.24537419,0.542157325,0
2.14483E-4,52.261807677,0.706055941,0.243959929,0.544512482,0
2.14729E-4,52.562283799,0.706469288,0.242309959,0.547338672,0
2.14908E-4,52.755609333,0.706769082,0.241249263,0.549458314,0
2.15109E-4,53.013656493,0.707104594,0.239835003,0.552048987,0
2.15204E-4,53.250340068,0.70726383,0.238538598,0.554639661,0
2.1553E-4,53.55186517,0.70780808,0.236888627,0.557701366,0
2.15662E-4,53.767463371,0.708028624,0.235710077,0.559821008,0
2.15773E-4,54.026344263,0.708213834,0.234295816,0.562647197,0
2.15906E-4,54.263797995,0.708435089,0.232999411,0.565002355,0
2.16142E-4,54.501445778,0.708827057,0.231703005,0.567593029,0
2.16399E-4,54.761034235,0.709253613,0.230288745,0.569948187,0
2.1653E-4,55.020783521,0.709471432,0.228874484,0.572303344,0
2.16711E-4,55.259064829,0.709770991,0.227578079,0.574422986,0
2.16823E-4,55.519193415,0.709956519,0.226163819,0.57701366,0
2.16913E-4,55.757716407,0.710106526,0.224867413,0.579368818,0
2.17114E-4,56.018182395,0.710438701,0.223453153,0.581723976,0
2.17224E-4,56.626320215,0.710619525,0.220153212,0.588082902,0
2.17335E-4,56.756687794,0.710803211,0.219446081,0.589495996,0
2.17524E-4,57.01760865,0.71111501,0.218031821,0.59208667,0
2.17706E-4,57.256949974,0.711415659,0.216735415,0.594441828,0
2.1791E-4,57.51831654,0.711751247,0.215321155,0.597032501,0
2.18074E-4,57.779909129,0.712020544,0.213906895,0.599387659,0
2.18235E-4,58.019889901,0.712285287,0.212610489,0.601507301,0
2.18318E-4,58.303680014,0.712421482,0.210960519,0.603862459,0
2.18354E-4,58.50018836,0.712481208,0.210017678,0.606688648,0
2.18476E-4,58.762308673,0.712680245,0.208603418,0.60880829,0
2.18599E-4,59.002735811,0.712882787,0.207307012,0.611398964,0
2.18848E-4,59.287081401,0.713290451,0.205774897,0.613754122,0
2.18949E-4,59.505981028,0.713456366,0.204596346,0.616109279,0
2.19109E-4,59.768794518,0.713717245,0.203182086,0.618228921,0
2.19375E-4,60.009976604,0.714152358,0.201885681,0.620584079,0
2.196E-4,60.251438239,0.714517803,0.20047142,0.622703721,0
2.19655E-4,60.624810252,0.71460835,0.19858574,0.626943005,0
2.19724E-4,60.756637873,0.714721181,0.197878609,0.628120584,0
2.2001E-4,61.020477493,0.715185878,0.196464349,0.630711258,0
2.20146E-4,61.262558474,0.715406512,0.195167943,0.633301931,0
2.20277E-4,61.504799198,0.715619906,0.193871538,0.635421573,0
2.20387E-4,61.769203297,0.71579817,0.192457278,0.638247763,0
2.20587E-4,62.011700405,0.716122222,0.191160872,0.640838436,0
2.20653E-4,62.254389358,0.716229518,0.189746612,0.643193594,0
2.20795E-4,62.519277888,0.716459764,0.188450206,0.646019783,0
2.20954E-4,62.76223816,0.716716538,0.187153801,0.648610457,0
2.21217E-4,63.005489013,0.717141812,0.185857395,0.65120113,0
2.21478E-4,63.271136222,0.717562458,0.184443135,0.65402732,0
2.21672E-4,63.51487791,0.717875067,0.18314673,0.656382478,0
2.21774E-4,63.758806614,0.718039007,0.181732469,0.65850212,0
2.21892E-4,64.002844058,0.718229754,0.180553919,0.661328309,0
2.22154E-4,64.269245961,0.718650912,0.179139658,0.663918983,0
2.22264E-4,64.558130794,0.718826323,0.177607543,0.666745172,0
2.22376E-4,64.780455016,0.719007058,0.176428992,0.668629298,0
2.22705E-4,65.003023477,0.719533726,0.175250442,0.67074894,0
2.22907E-4,65.381878449,0.719857876,0.173246906,0.674517193,0
2.23081E-4,65.515692091,0.720135281,0.172539776,0.675694772,0
2.2323E-4,65.761208858,0.720373211,0.171125516,0.677343382,0
2.23453E-4,66.006894482,0.720729203,0.169946965,0.680640603,0
2.23628E-4,66.252801364,0.72100839,0.16865056,0.682995761,0
2.23835E-4,66.521268933,0.721338116,0.167236299,0.685586434,0
2.2403E-4,66.767577812,0.721647328,0.165939894,0.687941592,0
2.24194E-4,67.014134952,0.721907277,0.164643489,0.690061234,0
2.24409E-4,67.260874602,0.722249425,0.163347083,0.692651908,0
2.24565E-4,67.64255447,0.72249562,0.161225692,0.695007065,0
2.24707E-4,67.799814552,0.722720961,0.160400707,0.697597739,0
2.24752E-4,68.047030945,0.722792194,0.159222157,0.70089496,0
2.24853E-4,68.339254496,0.722952268,0.157690041,0.703956665,0
2.24979E-4,68.519195435,0.723151029,0.156747201,0.705840791,0
2.25065E-4,68.766698781,0.723287053,0.155450796,0.707960433,0
2.25186E-4,69.014357416,0.723477973,0.154036535,0.70984456,0
2.25352E-4,69.262135451,0.723740664,0.152857985,0.712670749,0
2.2565E-4,69.532711479,0.724210166,0.151443724,0.715025907,0
2.25755E-4,69.758418053,0.724374719,0.150147319,0.716674517,0
2.25959E-4,70.006918662,0.724695002,0.148968768,0.719736222,0
2.26162E-4,70.255662758,0.725014093,0.147672363,0.72209138,0
2.26355E-4,70.52719355,0.725316631,0.146258103,0.724682054,0
2.26417E-4,70.82151437,0.725413762,0.144725987,0.727743759,0
2.26495E-4,71.047973376,0.725537474,0.143547437,0.730098917,0
2.26624E-4,71.251893093,0.725738162,0.142368886,0.731747527,0
2.26819E-4,71.501291583,0.726044229,0.141190336,0.734338201,0
2.27049E-4,71.750948351,0.726402817,0.13989393,0.736928874,0
2.27221E-4,72.000832236,0.726671654,0.138597525,0.739519548,0
2.274E-4,72.250890145,0.72695162,0.13730112,0.742110221,0
2.27622E-4,72.50115726,0.727296806,0.136004714,0.744465379,0
2.28024E-4,72.751704947,0.727921951,0.134708309,0.745878474,0
2.28286E-4,73.3221927,0.728329006,0.131761933,0.751530853,0
2.28419E-4,73.504890066,0.728534928,0.130701237,0.752708431,0
2.28667E-4,73.756343523,0.728918845,0.129522687,0.755770137,0
2.28919E-4,74.008025775,0.72930823,0.128108427,0.757418747,0
2.29096E-4,74.25995982,0.729581984,0.126812021,0.759773905,0
2.29259E-4,74.512039827,0.729833569,0.125633471,0.76283561,0
2.29493E-4,74.764365882,0.730193365,0.124337065,0.765426284,0
2.2971E-4,75.016942275,0.730528471,0.122922805,0.767545926,0
2.29852E-4,75.269728891,0.730747004,0.121744255,0.770372115,0
2.30154E-4,75.568779416,0.731209632,0.120212139,0.77343382,0
2.30266E-4,75.752955515,0.731381739,0.119269299,0.775317946,0
2.30365E-4,76.006331595,0.73153336,0.117972893,0.777673104,0
2.30679E-4,76.259937169,0.73201421,0.116676488,0.780263778,0
2.30813E-4,76.536870648,0.732219278,0.115262227,0.782854451,0
2.30979E-4,76.767757097,0.73247254,0.114083677,0.784974093,0
2.31167E-4,77.021931271,0.732759247,0.112787272,0.787093735,0
2.31366E-4,77.253229288,0.733063188,0.111490866,0.788742346,0
2.31449E-4,77.600350912,0.733189017,0.109840896,0.792510598,0
2.31512E-4,77.762392474,0.733285319,0.10901591,0.794159209,0
2.31727E-4,78.040407003,0.733613219,0.10760165,0.796749882,0
2.31813E-4,78.272158948,0.733743199,0.1064231,0.798869524,0
2.32133E-4,78.504163283,0.734229902,0.105244549,0.800989166,0
2.32283E-4,78.852561776,0.7344568,0.103476724,0.804521903,0
2.32368E-4,79.038438902,0.734585682,0.102416028,0.805934998,0
2.32505E-4,79.294139589,0.734793885,0.101237478,0.808996703,0
2.32694E-4,79.643134463,0.735079885,0.099469652,0.812529439,0
2.32766E-4,79.759503225,0.735188852,0.098880377,0.813471503,0
2.32865E-4,80.015586497,0.735338154,0.097466117,0.81582666,0
2.33125E-4,80.271879565,0.735731025,0.096287566,0.818417334,0
2.3338E-4,80.505199891,0.7361143,0.095109016,0.820772492,0
2.33585E-4,80.762005119,0.73642387,0.09381261,0.823363165,0
2.33694E-4,81.019012601,0.73658652,0.092516205,0.825953839,0
2.33931E-4,81.252849563,0.736943116,0.091337655,0.828308997,0
2.3413E-4,81.51029733,0.737242154,0.090041249,0.83089967,0
2.34322E-4,81.767911787,0.737530056,0.088744844,0.833490344,0
2.34468E-4,82.00232528,0.737748244,0.087566293,0.835845502,0
2.3464E-4,82.260361947,0.738005831,0.086269888,0.837965144,0
2.34727E-4,82.518525611,0.738135665,0.084973483,0.840320301,0
2.3495E-4,82.847332964,0.738468616,0.083323512,0.843382007,0
2.35162E-4,83.011901861,0.738784791,0.082498527,0.844795101,0
2.35315E-4,83.270669445,0.73901291,0.081202121,0.846914743,0
2.35446E-4,83.529576961,0.739209129,0.079905716,0.849505417,0
2.35608E-4,83.765138737,0.739449589,0.078727166,0.851860575,0
2.35809E-4,84.000835465,0.739748535,0.077548615,0.854215732,0
2.36014E-4,84.260348073,0.740052951,0.07625221,0.856335374,0
2.36174E-4,84.520043008,0.740290664,0.074955804,0.858690532,0
2.36263E-4,84.756264015,0.740421992,0.073777254,0.860810174,0
2.36542E-4,85.016326381,0.740834928,0.072480849,0.862929816,0
2.36643E-4,85.276600746,0.740985069,0.071184443,0.86552049,0
2.36697E-4,85.51327246,0.741064878,0.070005893,0.867875648,0
2.36817E-4,85.750025749,0.741240982,0.068827342,0.870230805,0
2.37034E-4,86.010648212,0.741562043,0.067530937,0.872821479,0
2.37513E-4,86.27165828,0.742267667,0.066234532,0.875176637,0
2.37647E-4,86.5092254,0.7424643,0.065055981,0.877531795,0
2.3787E-4,86.770821758,0.74279267,0.063759576,0.880122468,0
2.38075E-4,87.008783499,0.743093913,0.062581025,0.882477626,0
2.38249E-4,87.366087001,0.743348489,0.0608132,0.886010363,0
2.38381E-4,87.509088375,0.743541237,0.06010607,0.887423457,0
2.38494E-4,87.771342993,0.743706412,0.058809664,0.890014131,0
2.38811E-4,88.010024946,0.744170513,0.057631114,0.892369289,0
2.39159E-4,88.272894891,0.744678135,0.056334708,0.894959962,0
2.39322E-4,88.51213236,0.744915901,0.055156158,0.89731512,0
2.39459E-4,88.751519157,0.745114812,0.053977608,0.899670278,0
2.39621E-4,89.015044174,0.745351216,0.052681202,0.902025436,0
2.39943E-4,89.254796758,0.745818481,0.051502652,0.904145078,0
2.40234E-4,89.518871841,0.746240238,0.050206246,0.906500236,0
2.4033E-4,89.759146843,0.746379174,0.049027696,0.908855393,0
2.40549E-4,90.023653332,0.746696003,0.047731291,0.911446067,0
2.40698E-4,90.264278571,0.746911172,0.04655274,0.913565709,0
2.40927E-4,90.625614924,0.747242513,0.044784915,0.917098446,0
2.41022E-4,90.770201446,0.74737947,0.044077784,0.91851154,0
2.41234E-4,91.011308639,0.747685149,0.042781379,0.920631182,0
2.41453E-4,91.252662929,0.747999131,0.041720684,0.92298634,0
2.41668E-4,91.518414622,0.7483092,0.040424278,0.925105982,0
2.42143E-4,91.760353982,0.748990058,0.039245728,0.927225624,0
2.42259E-4,92.026773219,0.749155963,0.037949322,0.929816298,0
2.42442E-4,92.269154769,0.749418355,0.036770772,0.93193594,0
2.42878E-4,92.511815706,0.750041207,0.035592222,0.934055582,0
2.43063E-4,92.754793025,0.750305598,0.034413671,0.93641074,0
2.43371E-4,93.022295072,0.750744106,0.033117266,0.938294866,0
2.43644E-4,93.265854519,0.751131593,0.031938715,0.940414508,0
2.44062E-4,93.50963585,0.751725418,0.030760165,0.942298634,0
2.44307E-4,93.753883239,0.752072336,0.02946376,0.944418276,0
2.44577E-4,94.022747272,0.75245408,0.028285209,0.947244465,0
2.45013E-4,94.267691457,0.753068829,0.026988804,0.948893076,0
2.45252E-4,94.537292758,0.753406088,0.025810253,0.951483749,0
2.45617E-4,94.758244685,0.753918585,0.024749558,0.95313236,0
2.45991E-4,95.004011462,0.754444516,0.023571008,0.955252002,0
2.46152E-4,95.25005766,0.754670011,0.022392457,0.957371644,0
2.46582E-4,95.52104096,0.755270844,0.021096052,0.959726802,0
2.46957E-4,95.767828706,0.755794953,0.019917501,0.962081959,0
2.47362E-4,96.015123863,0.756357642,0.018738951,0.964437117,0
2.4762E-4,96.287472657,0.756717138,0.017324691,0.96537918,0
2.47969E-4,96.510501876,0.757200338,0.01638185,0.969147433,0
